meanfreq,sd,median,IQR,skew,kurt,mode,centroid,dfrange,label
0.059780985,0.064241268,0.032026913,0.075121951,12.86346184,274.4029055,0,0.059780985,0,male
0.06600874,0.067310029,0.040228735,0.073252323,22.42328536,634.6138545,0,0.06600874,0.046875,male
0.077315503,,0.036718459,0.123206961,30.75715458,1024.927705,0,0.077315503,0.0078125,male
0.151228092,0.072110587,0.158011187,0.111373524,1.232831276,4.17729621,0.083878185,0.151228092,0.5546875,male
0.135120387,0.0791461,0.124656229,0.127324711,1.101173666,4.333713155,0.104261402,0.135120387,5.4765625,male
0.132786407,0.079556866,0.119089848,0.141633606,1.932562432,8.308895037,0.112555426,0.132786407,2.71875,male
0.15076233,,0.160106383,0.112819149,1.530643231,5.987497658,0.086196809,0.15076233,5.3046875,male
0.160514332,0.076766885,0.144336775,0.121429706,1.397156365,4.766610695,0.128324067,0.160514332,0.53125,male
0.142239417,0.078018462,0.138587444,0.120381166,1.099746151,4.070283706,0.219103139,0.142239417,2.15625,male
0.134328777,0.080350028,0.121451347,0.12637713,1.190368444,4.787309833,0.011698736,0.134328777,4.6796875,male
0.157020511,0.071942931,0.168160153,0.115309819,0.979442275,3.974222626,0.096358437,0.157020511,2.8046875,male
0.138550521,0.077053993,0.127526596,0.115425532,1.626769867,6.291365079,0.012101064,0.138550521,2.7109375,male
0.137342742,,0.124262508,0.126081871,1.378728204,5.008951625,0.108434048,0.137342742,5,male
0.181225459,0.060042055,0.190953206,0.100693241,1.369430458,5.475599788,0.21982669,0.181225459,2.796875,male
0.183115281,0.06698235,0.191232529,0.111003812,3.568104024,35.38474845,0.049987294,0.183115281,6.5390625,male
0.174272105,0.069411045,0.190874107,0.112677295,4.48503835,61.76490831,0.050027488,0.174272105,6.9921875,male
0.190846298,0.065790282,0.207950987,0.112076242,1.562303683,7.834349886,0.05012934,0.190846298,6.3125,male
0.171246971,,0.152806653,0.121226611,3.207169827,25.76556494,0.05995842,0.171246971,0.5625,male
0.168345946,0.074120817,0.145618472,0.124068169,2.704334729,18.4847026,0.060032985,0.168345946,3.1171875,male
0.173631376,0.073351512,0.153568557,0.120553819,2.804974885,20.85754316,0.060026798,0.173631376,2.8125,male
0.172754287,0.076902583,0.177736289,0.12529755,2.967765093,20.0781147,0.059953326,0.172754287,0.7109375,male
0.181015394,0.074369304,0.169298813,0.125501618,2.587324534,12.28143192,0.05995685,0.181015394,3.6875,male
0.163535853,0.072448898,0.145542522,0.113519062,3.58764999,28.65378051,0.059941349,0.163535853,0.4375,male
0.170212798,0.075104946,0.146052999,0.126136681,2.816792918,13.7645822,0.059944212,0.170212798,0.5546875,male
0.160422477,0.076614764,0.144823806,0.116319499,6.253208252,85.49192569,0.060078309,0.160422477,3.9453125,male
0.164699838,0.075361772,0.14701847,0.121776605,4.208608405,43.68188543,0.05996482,0.164699838,1.0546875,male
0.169578801,0.075634514,0.186467577,0.121843003,4.269922678,45.89524782,0.05996587,0.169578801,3.6015625,male
0.169021004,0.071778152,0.143168483,0.122514669,3.079273395,14.34029884,0.128147527,0.169021004,0.703125,male
0.167340239,0.07284123,0.14173913,0.117826087,2.192126246,8.152409785,0.134782609,0.167340239,0.671875,male
0.180527821,,0.142385321,0.12293578,2.799968944,12.19036052,0.133577982,0.180527821,0.5,male
0.153039048,0.07403113,0.158064516,0.121634409,0.885701648,3.523981856,0.216774194,0.153039048,1.015625,male
0.166659499,0.075961168,0.142781457,0.123002208,3.281847964,16.61948169,0.127019868,0.166659499,0.625,male
0.175659429,0.071651533,0.144191617,0.125469062,3.736487284,21.66666873,0.134411178,0.175659429,0.640625,male
0.174825733,0.071532831,0.146470588,0.123529412,2.576732042,10.11012486,0.12,0.174825733,4.1640625,male
0.174064614,0.073121844,0.140183486,0.125137615,3.263039755,16.42405465,0.133211009,0.174064614,0.625,male
